,416,480,512,544,576,608,640,672,704,736,768,800,832,864,896,928,960,992,1024,1056
1056,141,2002,2478,125,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0
992,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0
960,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
928,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
896,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0
864,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
832,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
768,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
736,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0
704,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672,0,0,0,0,0,0,1511,0,0,0,0,0,0,0,0,0,0,0,0,0
640,0,0,0,0,0,0,1,2,4,8,20,5,1,7,6,1,7,6,9,14
608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092
